"X_id","OFFENCE_YEAR","DIVISION","TICKET_TYPE","OFFENCE_CATEGORY","AGE_GROUP","HOOD_158","NEIGHBOURHOOD_158","TICKET_COUNT"
1,2015,"D41","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","121","Oakridge",4
2,2020,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","148","East L'Amoreaux",5
3,2020,"D13","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","107","Oakwood Village",304
4,2021,"D22","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","160","Mimico-Queensway",23
5,2014,"D42","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","116","Steeles",6
6,2021,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","40","St.Andrew-Windfields",3
7,2014,"D32","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","27","York University Heights",25
8,2018,"D53","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","41","Bridle Path-Sunnybrook-York Mills",33
9,2020,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","8","Humber Heights-Westmount",1
10,2016,"D42","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","126","Dorset Park",1
11,2017,"D53","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","167","Church-Wellesley",16
12,2014,"D32","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","31","Yorkdale-Glen Park",83
13,2017,"D33","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","149","Parkwoods-O'Connor Hills",1
14,2021,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","126","Dorset Park",11
15,2016,"D52","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","165","Harbourfront-CityPlace",139
16,2015,"D14","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","162","West Queen West",39
17,2017,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","119","Wexford/Maryvale",660
18,2015,"D22","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","NSA","NSA",52
19,2017,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","27","York University Heights",35
20,2019,"D12","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","115","Mount Dennis",1
21,2021,"D11","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","85","South Parkdale",29
22,2019,"D22","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","9","Edenbridge-Humber Valley",1
23,2019,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","119","Wexford/Maryvale",10
24,2014,"D32","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","34","Bathurst Manor",12
25,2021,"D55","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","69","Blake-Jones",5
26,2021,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","133","Centennial Scarborough",3
27,2020,"D55","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","59","Danforth East York",50
28,2018,"D41","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","123","Cliffcrest",2
29,2015,"D14","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","80","Palmerston-Little Italy",19
30,2021,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","107","Oakwood Village",4
31,2022,"D22","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","18","New Toronto",20
32,2018,"D12","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","29","Maple Leaf",1
33,2017,"D14","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","163","Fort York-Liberty Village",1
34,2017,"D42","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","146","Malvern East",153
35,2018,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","11","Eringate-Centennial-West Deane",3
36,2022,"D32","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","151","Yonge-Doris",4
37,2020,"D33","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","53","Henry Farm",1
38,2020,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","78","Kensington-Chinatown",2
39,2020,"D33","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","149","Parkwoods-O'Connor Hills",20
40,2014,"D43","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","123","Cliffcrest",92
41,2021,"D31","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","27","York University Heights",10
42,2014,"D43","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","133","Centennial Scarborough",1
43,2018,"D51","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","167","Church-Wellesley",3
44,2020,"D32","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","151","Yonge-Doris",2
45,2021,"D53","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","173","North Toronto",3
46,2022,"NSA","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","144","Morningside Heights",1
47,2016,"D32","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","37","Willowdale West",3
48,2020,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","13","Etobicoke West Mall",28
49,2018,"NSA","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","48","Hillcrest Village",2
50,2021,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","130","Milliken",1
51,2022,"D22","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","19","Long Branch",3
52,2017,"D55","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","60","Woodbine-Lumsden",5
53,2018,"D22","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","16","Stonegate-Queensway",75
54,2021,"D31","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Youth","155","Downsview",2
55,2015,"D52","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","164","Wellington Place",158
56,2014,"D41","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","124","Kennedy Park",41
57,2016,"D53","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","99","Mount Pleasant East",1
58,2016,"D52","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","165","Harbourfront-CityPlace",35
59,2019,"D33","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","47","Don Valley Village",34
60,2021,"D52","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","NSA","NSA",8
61,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","96","Casa Loma",33
62,2016,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","168","Downtown Yonge East",462
